phi_applied,flux_clean,flux_noisy,converged,steps_taken,final_time,final_relative_change,final_absolute_change,species_flux,failure_reason
-1,-0.0002734619076180399,-0.002547038291970156,1,7,3.5,6.659838258166741e-06,1.821224203564509e-09,0.001349496769300984;1.379585343222493e-07,
-2.357142857142857,-0.0009146440000012893,-0.001591013589878994,1,8,4,4.799786617652419e-06,4.390117102747587e-09,0.004513189423593701;9.13899828379196e-07,
-3.714285714285714,-0.002293461369489038,-0.003919789285705239,1,9,4.5,4.140295715791206e-06,9.495647597217161e-09,0.01131454998197021;4.522345772631616e-06,
-5.071428571428571,-0.005389034965063861,-0.003698291559970565,1,10,5,3.792147145650819e-06,2.043609105724375e-08,0.0265759195951232;2.094284075161274e-05,
-6.428571428571429,-0.01225070789374664,-0.01026947626901989,1,11,5.5,3.146205252531984e-06,3.854336278787118e-08,0.0603680025770818;9.373031282605912e-05,
-7.785714285714286,-0.02661346418684061,-0.02476291769125463,1,11,5.5,4.914880324056675e-06,1.308026343661839e-07,0.1309469951833313;0.0004002034353907192,
-9.142857142857142,-0.05319895327124904,-0.05388044265733569,1,11,5.5,4.607222893672545e-06,2.451005646636473e-07,0.260988378884253;0.001567950970841109,
-10.5,-0.09285359683487822,-0.09531488487184651,1,11,5.5,1.195385446534129e-06,1.109959709977293e-07,0.4529323553613455;0.005334172449941646,
-11.85714285714286,-0.1368284653842993,-0.1398181204150221,1,10,5,9.303158082896926e-07,1.272936843710326e-07,0.6601439755966652;0.01515464367940042,
-13.21428571428572,-0.1735579713436225,-0.1670837793784777,1,10,5,1.463201758849117e-06,2.539503289322731e-07,0.8202593852994468;0.03631280590011968,
-14.57142857142857,-0.2008688326161354,-0.1997499794558106,1,9,4.5,2.319876253587348e-06,4.659919159155645e-07,0.914828779692867;0.07653252031361897,
-15.92857142857143,-0.2246065944506346,-0.2221304965081713,1,10,5,5.930089268897258e-06,1.331945054028338e-06,0.9618718246044111;0.1466440290727526,
-17.28571428571428,-0.2512691687419162,-0.2532417582036374,1,11,5.5,5.211986232857944e-06,1.309618273936941e-06,0.9829541584414175;0.2571512702169334,
-18.64285714285714,-0.2834759197335078,-0.2861232045423941,1,11,5.5,4.980297141959707e-06,1.411801344053387e-06,0.9915712587271543;0.4074862886654429,
-20,-0.3181516607061082,-0.3176011863770442,1,11,5.5,2.418042436036589e-06,7.693060768976245e-07,0.9946170013307905;0.5755780351464319,
