phi_applied,target_observable,simulated_observable
0,-0.03298406327095788,-0.0325702805908603
0.002857142857142857,-0.04535464829707598,-0.0449752031048694
0.005714285714285714,-0.05770494981500504,-0.05736583791973855
0.008571428571428572,-0.07008878315244449,-0.06977858716422261
0.01142857142857143,-0.08254741857777903,-0.08227179479731989
0.01428571428571429,-0.0951311089464362,-0.09488986599976912
0.01714285714285714,-0.1078966172781416,-0.1076894369863172
0.02,-0.1209100158631154,-0.1207364517660947
0.02285714285714286,-0.1342504809363394,-0.134109950472086
0.02571428571428571,-0.148005823108214,-0.147897638220138
0.02857142857142857,-0.1623191851265599,-0.1622423726782048
0.03142857142857143,-0.1773445180650449,-0.1772978996434713
0.03428571428571429,-0.1932953500569945,-0.193277408103087
0.03714285714285714,-0.2105057792763785,-0.2105143015987966
0.04,-0.2294390996047444,-0.2294707980463564
