phi_applied,target_flux,simulated_flux
0,0.1473460809004158,0.1473557932468719
0.002857142857142857,0.1496341699868209,0.1496363644744952
0.005714285714285714,0.1524580334746042,0.1524528870157664
0.008571428571428572,0.1558618314141555,0.1558495400610534
0.01142857142857143,0.1598362995809255,0.1598170783924673
0.01428571428571429,0.1644004366841207,0.1643745204231848
0.01714285714285714,0.169582792245124,0.1695504372968084
0.02,0.1754236626716425,0.1753851509557172
0.02285714285714286,0.1819783646570816,0.1819340106782839
0.02571428571428571,0.1893056789121542,0.1892558439213365
0.02857142857142857,0.1975410035839837,0.1974861108596847
0.03142857142857143,0.2068100672909965,0.2067506451438653
0.03428571428571429,0.217301233538754,0.2172379828867357
0.03714285714285714,0.2293336446578909,0.2292675678418048
0.04,0.243338073938748,0.2432707586442715
